feature,importance
ewm_4w,0.50794756
ewm_12w,0.34804568
roll_mean_4w,0.055713024
roll_mean_12w,0.028215075
roll_mean_8w,0.0145854475
exchange_in_last_4w,0.010839028
lag_1w,0.008908248
diff_1w,0.006949478
diff_4w,0.006656921
lag_4w,0.0037854905
roll_min_4w,0.0025312772
emergency_last_4w,0.0014170503
roll_mean_2w,0.0008033974
roll_std_8w,0.00040735988
roll_max_4w,0.00033779975
lag_3w,0.00029865734
roll_std_4w,0.00028841823
lag_2w,0.00025576353
roll_std_2w,0.00023805887
base_demand_per_100_beds,0.00017073992
is_demo,0.00015915695
shelf_life_months,0.00012737028
month_cos,0.00010537869
week_cos,9.3934716e-05
pack_size,8.991556e-05
load_factor,6.085304e-05
roll_std_12w,6.0429484e-05
dosage_form,5.9159778e-05
is_monsoon,5.8897796e-05
unit_cost_npr,5.2555217e-05
road_access_score,5.0270064e-05
longitude,4.113993e-05
week_sin,3.967008e-05
month_sin,3.9511786e-05
lag_12w,3.706248e-05
hospital_id,3.6529203e-05
lag_8w,3.4026158e-05
category,3.2683307e-05
bed_capacity,3.2506767e-05
month,3.131671e-05
facility_type,3.041461e-05
week_of_year,3.0007322e-05
medicine_id,2.9582505e-05
latitude,2.7222251e-05
is_essential,2.5852398e-05
ownership,2.5494539e-05
year,2.410334e-05
quarter,2.3931707e-05
abc_class,2.1836464e-05
province,2.115742e-05
urban_factor,2.0768059e-05
is_referral,1.7334825e-05
district,1.6904174e-05
is_winter,1.5086245e-05
urban_class,1.4678859e-05
ecoregion,1.3706609e-05
requires_cold_chain,5.0823824e-06
