request_id,request_datetime,hospital_id,medicine_id,quantity_requested,severity,cause,status,response_hours
EMR-0001,2026-02-25T00:00:00Z,HOSP-LB-003,MED-013,225,Medium,Blood shortage,Fulfilled,40.5
EMR-0002,2026-04-26T00:00:00Z,DEMO-04,MED-068,154,Critical,COPD exacerbation cluster,Fulfilled,10.7
EMR-0003,2025-09-20T00:00:00Z,HOSP-LB-003,MED-065,221,High,Dengue surge,Open,10.6
EMR-0004,2025-08-11T00:00:00Z,HOSP-LB-005,MED-062,159,High,COPD exacerbation cluster,Fulfilled,23.8
EMR-0005,2026-06-11T00:00:00Z,HOSP-BG-019,MED-068,49,Medium,Snake bite,Fulfilled,23.7
EMR-0006,2026-06-29T00:00:00Z,HOSP-LB-003,MED-001,93,Medium,Pediatric pneumonia surge,Partially_Fulfilled,4.0
EMR-0007,2026-06-13T00:00:00Z,DEMO-05,MED-020,111,High,Pediatric pneumonia surge,Fulfilled,17.9
EMR-0008,2026-02-17T00:00:00Z,DEMO-02,MED-044,110,Medium,Road traffic accident,Cancelled,13.4
EMR-0009,2026-03-14T00:00:00Z,HOSP-LB-001,MED-024,42,Medium,Mass casualty,Fulfilled,39.2
EMR-0010,2026-05-19T00:00:00Z,DEMO-05,MED-029,121,High,Neonatal sepsis,Open,15.4
EMR-0011,2025-09-14T00:00:00Z,HOSP-MD-001,MED-060,222,Critical,Blood shortage,Fulfilled,17.1
EMR-0012,2026-02-09T00:00:00Z,HOSP-GD-003,MED-060,62,Medium,Blood shortage,Open,37.5
EMR-0013,2025-09-07T00:00:00Z,DEMO-01,MED-026,103,High,COPD exacerbation cluster,Fulfilled,39.0
EMR-0014,2025-10-26T00:00:00Z,HOSP-SP-004,MED-062,58,Critical,Postpartum hemorrhage,Open,3.0
EMR-0015,2025-07-01T00:00:00Z,HOSP-BG-019,MED-070,284,Medium,Surgical emergency,Cancelled,27.4
EMR-0016,2025-12-07T00:00:00Z,HOSP-SP-001,MED-071,274,Medium,Flood displacement camp,Partially_Fulfilled,10.8
EMR-0017,2026-02-18T00:00:00Z,DEMO-03,MED-016,268,Medium,Pediatric pneumonia surge,Partially_Fulfilled,41.3
EMR-0018,2026-03-01T00:00:00Z,DEMO-03,MED-018,158,High,Road traffic accident,Cancelled,26.2
EMR-0019,2026-05-30T00:00:00Z,DEMO-08,MED-006,284,Medium,Flood displacement camp,Cancelled,3.0
EMR-0020,2026-04-27T00:00:00Z,HOSP-BG-016,MED-011,152,Medium,COPD exacerbation cluster,Fulfilled,37.9
EMR-0021,2025-08-07T00:00:00Z,HOSP-GD-005,MED-020,18,Medium,COPD exacerbation cluster,Partially_Fulfilled,4.4
EMR-0022,2025-07-30T00:00:00Z,DEMO-07,MED-042,135,Critical,Neonatal sepsis,Fulfilled,2.2
EMR-0023,2025-08-21T00:00:00Z,HOSP-BG-019,MED-064,147,High,Postpartum hemorrhage,Open,23.9
EMR-0024,2025-11-26T00:00:00Z,DEMO-01,MED-055,181,High,Neonatal sepsis,Fulfilled,30.0
