exchange_id,request_date,from_hospital_id,to_hospital_id,medicine_id,quantity_units,priority,status,distance_km,estimated_lead_days,same_province,reason,involves_demo
EX-00001,2026-05-13,HOSP-KR-004,HOSP-BG-013,MED-056,5,Normal,Completed,301.2,3,0,Postpartum hemorrhage kit,0
EX-00002,2026-01-21,DEMO-06,DEMO-02,MED-042,24,Normal,Completed,239.4,4,0,Routine balancing,1
EX-00003,2026-01-21,HOSP-BG-012,HOSP-LB-004,MED-056,15,Normal,Requested,244.8,4,0,Routine balancing,0
EX-00004,2026-04-03,HOSP-SP-003,HOSP-BG-016,MED-022,29,Emergency,Requested,442.6,6,0,Monsoon surge,0
EX-00005,2026-02-14,DEMO-01,DEMO-03,MED-066,104,Emergency,Completed,11.8,2,1,Monsoon surge,1
EX-00006,2026-03-18,HOSP-BG-019,HOSP-LB-001,MED-036,153,Normal,Completed,185.3,2,0,Postpartum hemorrhage kit,0
EX-00007,2026-03-14,DEMO-08,DEMO-01,MED-026,26,High,Completed,352.2,4,0,Pediatric surge,1
EX-00008,2026-02-10,HOSP-KR-004,HOSP-GD-003,MED-060,5,Normal,Approved,224.9,2,0,Outbreak response,0
EX-00009,2026-02-01,HOSP-GD-004,HOSP-SP-002,MED-003,5,Normal,Rejected,398.5,4,0,Emergency case load,0
EX-00011,2025-12-29,HOSP-SP-003,HOSP-GD-003,MED-013,31,Normal,Completed,376.3,6,0,Postpartum hemorrhage kit,0
EX-00012,2026-05-26,DEMO-02,DEMO-01,MED-048,47,Emergency,Completed,3.8,2,1,Emergency case load,1
EX-00013,2025-12-16,HOSP-KR-003,HOSP-BG-013,MED-034,5,High,Completed,276.6,4,0,Pediatric surge,0
EX-00014,2026-03-13,DEMO-04,DEMO-03,MED-030,86,Normal,Requested,11.9,1,1,Routine balancing,1
EX-00015,2026-05-07,HOSP-GD-005,DEMO-04,MED-043,23,Normal,Completed,143.1,3,0,Low stock,1
EX-00016,2026-01-21,HOSP-SP-004,HOSP-BG-018,MED-047,28,Normal,Completed,497.9,6,0,Near-expiry redistribution,0
EX-00017,2026-02-02,DEMO-06,HOSP-BG-010,MED-042,24,Normal,Completed,312.3,5,0,Low stock,1
EX-00018,2026-03-21,DEMO-08,HOSP-SP-004,MED-009,19,High,Completed,155.5,2,0,Chemo cycle demand,1
EX-00019,2026-06-24,HOSP-BG-019,HOSP-BG-013,MED-031,49,High,Approved,9.1,1,1,Near-expiry redistribution,0
EX-00020,2026-06-19,DEMO-04,HOSP-BG-010,MED-005,182,Normal,Completed,89.1,3,1,Monsoon surge,1
