category,mae,n
ORS_Electrolyte,99.44990035975404,1066
Antipyretic,97.97302868584866,1066
Surgical_Consumable,90.92558015416084,1599
Antihypertensive,54.431739119802366,1066
Gastrointestinal,51.76613011260082,1066
IV_Fluid,51.329283307201045,1599
Cardiovascular,49.28505987420986,1066
Antibiotic,41.4434460547711,3731
Antidiabetic,36.24788028751736,1066
Pediatric,29.861437746169532,2665
Maternity_OBGYN,28.454700402438807,2665
Antidiarrheal,26.73563800430656,533
Analgesic,25.271493461121075,2132
Antiseptic,20.713976738181167,533
Nutritional,17.512057999117513,533
Respiratory,16.95004801205613,2132
Anthelmintic,16.73416610534598,533
Vaccine,10.956679661309183,2132
Antimalarial,10.220645136196369,1066
Anesthetic,10.066632247790276,1599
Trauma_Emergency,9.831440734734679,2665
Blood_Product,7.148433649889761,1066
Ophthalmic,6.6560757969662765,1599
Oncology,3.8462482264697906,3198
