facility_type,mae,n
Teaching_Hospital,75.45747218948479,7488
Maternity_Hospital,57.35252094854656,936
Children_Hospital,50.83675505513819,936
Central_Hospital,45.72912467598313,2808
Regional_Hospital,36.929955116305976,5616
Trauma_Center,31.612993663956978,936
Cancer_Hospital,21.18229765050177,1872
Zonal_Hospital,14.878730662766728,5616
Eye_Hospital,8.426072186798367,936
Mental_Hospital,3.8656891589013176,936
District_Hospital,3.1083976022792688,7488
Community_Hospital,2.457196132777434,936
Primary_Health_Center,0.554488307264131,1872
